Country,Code,Year,Deaths,Continent,Population,latitude,longitude,Percentage 
Philippines,PHL,2015,10515,Asia,103031365,12.879721,121.774017,10.21
Poland,POL,2015,4075,Europe,38553146,51.919438,19.145136,10.57
Portugal,PRT,2015,913,Europe,10365435,39.399872,-8.224454,8.81
Puerto Rico,PRI,2015,405,North America,3497335,18.220833,-66.590149,11.58
Qatar,QAT,2015,660,Asia,2414573,25.354826,51.183884,27.33
Romania,ROU,2015,2240,Europe,19906079,45.943161,24.96676,11.25
Russia,RUS,2015,24602,Europe,144668389,61.52401,105.318756,17.01
Rwanda,RWA,2015,2269,Africa,11642959,-1.940278,29.873888,19.49
Saint Kitts and Nevis,KNA,2015,7,North America,47790,17.357822,-62.782998,14.65
Saint Lucia,LCA,2015,25,North America,175623,13.909444,-60.978893,14.24
Saint Vincent and the Grenadines,VCT,2015,9,North America,106482,12.984305,-61.287228,8.45
Samoa,WSM,2015,31,Oceania,203571,-13.759029,-172.104629,15.23
San Marino,SMR,2015,3,Europe,33570,43.94236,12.457777,8.94
Saudi Arabia,SAU,2015,19526,Asia,32749848,23.885942,45.079162,59.62
Senegal,SEN,2015,1678,Africa,14356181,14.497401,-14.452362,11.69
Serbia,SRB,2015,770,Europe,7519496,44.016521,21.005859,10.24
Seychelles,SYC,2015,16,Africa,99240,-4.679574,55.491977,16.12
Sierra Leone,SLE,2015,1384,Africa,7314773,8.460555,-11.779889,18.92
Singapore,SGP,2015,186,Asia,5650018,1.352083,103.819836,3.29
Slovakia,SVK,2015,452,Europe,5424444,48.669026,19.699024,8.33
Slovenia,SVN,2015,139,Europe,2080862,46.151241,14.995463,6.68
Solomon Islands,SLB,2015,153,Oceania,612660,-9.64571,160.156194,24.97
Somalia,SOM,2015,3236,Africa,13763906,5.152149,46.199616,23.51
South Africa,ZAF,2015,17945,Africa,55876504,-30.559482,22.937506,32.12
South Korea,KOR,2015,6393,Asia,50994401,35.907757,127.766922,12.54
Spain,ESP,2015,2459,Europe,46431342,40.463667,-3.74922,5.30
Sri Lanka,LKA,2015,3164,Asia,21336697,7.873054,80.771797,14.83
Sudan,SDN,2015,7148,Africa,38171178,12.862807,30.217636,18.73
Suriname,SUR,2015,97,South America,575475,3.919305,-56.027783,16.86
Sweden,SWE,2015,377,Europe,9849349,60.128161,18.643501,3.83
Switzerland,CHE,2015,326,Europe,8281732,46.818188,8.227512,3.94
Syria,SYR,2015,1824,Asia,19205178,34.802075,38.996815,9.50
Taiwan,TWN,2015,3694,Asia,23512136,23.69781,120.960515,15.71
Tajikistan,TJK,2015,640,Asia,8524063,38.861034,71.276093,7.51
Tanzania,TZA,2015,5521,Africa,52542823,-6.369028,34.888822,10.51
Thailand,THA,2015,19379,Asia,70294397,15.870032,100.992541,27.57
Togo,TGO,2015,1387,Africa,7473229,8.619543,0.824782,18.56
Tonga,TON,2015,10,Oceania,106122,-21.178986,-175.198242,9.42
Trinidad and Tobago,TTO,2015,192,North America,1460177,10.691803,-61.222503,13.15
Tunisia,TUN,2015,2532,Africa,11557779,33.886917,9.537499,21.91
Turkey,TUR,2015,7911,Asia,79646178,38.963745,35.243322,9.93
Turkmenistan,TKM,2015,279,Asia,5766431,38.969719,59.556278,4.84
Tuvalu,TUV,2015,3,Oceania,10877,-7.109535,177.64933,27.58
Uganda,UGA,2015,5418,Africa,37477356,1.373333,32.290275,14.46
Ukraine,UKR,2015,7803,Europe,44982564,48.379433,31.16558,17.35
United Arab Emirates,ARE,2015,3593,Asia,8916899,23.424076,53.847818,40.29
United Kingdom,GBR,2015,2621,Europe,65224364,55.378051,-3.435973,4.02
United States,USA,2015,41198,North America,324607776,37.09024,-95.712891,12.69
Uruguay,URY,2015,611,South America,3402818,-32.522779,-55.765835,17.96
Uzbekistan,UZB,2015,4993,Asia,30949417,41.377491,64.585262,16.13
Vanuatu,VUT,2015,62,Oceania,276438,-15.376706,166.959158,22.43
Venezuela,VEN,2015,6687,South America,30529716,6.42375,-66.58973,21.90
Vietnam,VNM,2015,25154,Asia,92191398,14.058324,108.277199,27.28
Yemen,YEM,2015,10522,Asia,28516545,15.552727,48.516388,36.90
Zambia,ZMB,2015,2173,Africa,16248230,-13.133897,27.849332,13.37
Zimbabwe,ZWE,2015,2373,Africa,14154937,-19.015438,29.154857,16.76
